# Test ride: loop Gorky Park - Luzhniki - Frunzenskaya emb., 10 s updates.
# Contains a 1-min stop, one GPS glitch (~700 m jump) and one duplicate timestamp.
# lat,lon,unix_ts
55.732024,37.603726,1758614400
55.732122,37.603404,1758614410
55.732239,37.603069,1758614420
55.732316,37.602717,1758614430
55.732462,37.602323,1758614440
55.732563,37.601946,1758614450
55.732689,37.601608,1758614460
55.732780,37.601408,1758614470
55.733008,37.601322,1758614480
55.733152,37.600858,1758614490
55.733287,37.600616,1758614500
55.733441,37.600198,1758614510
55.733590,37.599742,1758614520
55.733723,37.599260,1758614530
55.733894,37.598862,1758614540
55.734011,37.598445,1758614550
55.734161,37.597960,1758614560
55.734331,37.597491,1758614570
55.734392,37.597080,1758614580
55.734547,37.596500,1758614590
55.734324,37.596506,1758614600
55.734095,37.596942,1758614610
55.733826,37.596764,1758614620
55.733498,37.596436,1758614630
55.733198,37.596163,1758614640
55.732906,37.595800,1758614650
55.732528,37.595432,1758614660
55.732253,37.595162,1758614670
55.731817,37.594800,1758614680
55.731379,37.594419,1758614690
55.730994,37.594161,1758614700
55.730632,37.593819,1758614710
55.730219,37.593530,1758614720
55.729703,37.593223,1758614730
55.729257,37.592844,1758614740
55.728823,37.592578,1758614750
55.728329,37.592264,1758614760
55.727770,37.591905,1758614770
55.727232,37.591485,1758614780
55.726666,37.591051,1758614790
55.726156,37.590558,1758614800
55.725633,37.590036,1758614810
55.725119,37.589517,1758614820
55.724552,37.588958,1758614830
55.724004,37.588298,1758614840
55.723375,37.587693,1758614850
55.722800,37.587064,1758614860
55.722146,37.586404,1758614870
55.728055,37.585767,1758614880
55.721043,37.585718,1758614890
55.720478,37.585126,1758614900
55.719847,37.584397,1758614910
55.719227,37.583708,1758614920
55.718747,37.583042,1758614930
55.718191,37.582233,1758614940
55.717612,37.581462,1758614950
55.717098,37.580671,1758614960
55.716546,37.579821,1758614970
55.715998,37.578925,1758614980
55.715533,37.578062,1758614990
55.714996,37.577109,1758615000
55.714488,37.576218,1758615010
55.714016,37.575210,1758615020
55.713651,37.574034,1758615030
55.713452,37.573267,1758615040
55.713223,37.572422,1758615050
55.712926,37.571495,1758615060
55.712727,37.570680,1758615070
55.713076,37.570033,1758615080
55.713496,37.569394,1758615090
55.713852,37.569033,1758615100
55.714144,37.568409,1758615110
55.714431,37.567918,1758615120
55.714768,37.567339,1758615130
55.715056,37.566761,1758615140
55.714930,37.566326,1758615150
55.714641,37.565985,1758615160
55.714467,37.565679,1758615170
55.714682,37.565292,1758615180
55.714847,37.564876,1758615190
55.714820,37.564882,1758615200
55.714820,37.564881,1758615210
55.714824,37.564889,1758615220
55.714828,37.564892,1758615230
55.714814,37.564898,1758615240
55.714826,37.564883,1758615250
55.714612,37.564529,1758615260
55.714660,37.564018,1758615270
55.714798,37.563651,1758615280
55.715038,37.563162,1758615290
55.715240,37.562923,1758615300
55.715456,37.562536,1758615310
55.715657,37.562214,1758615320
55.715856,37.561836,1758615330
55.716043,37.561505,1758615340
55.716235,37.561155,1758615350
55.716527,37.560679,1758615360
55.716747,37.560285,1758615370
55.716988,37.559922,1758615380
55.717205,37.559437,1758615390
55.717521,37.558973,1758615400
55.717799,37.558463,1758615410
55.718014,37.557965,1758615420
55.717752,37.557496,1758615430
55.717427,37.556863,1758615440
55.717055,37.556201,1758615450
55.717200,37.556477,1758615460
55.717538,37.557075,1758615470
55.717904,37.557797,1758615480
55.717821,37.558442,1758615490
55.717455,37.559041,1758615500
55.717116,37.559623,1758615510
55.716722,37.560352,1758615520
55.716230,37.561150,1758615530
55.715891,37.561730,1758615540
55.715522,37.562407,1758615550
55.715045,37.563253,1758615560
55.714670,37.564071,1758615570
55.714854,37.564933,1758615580
55.714646,37.565766,1758615590
55.715145,37.566461,1758615600
55.715570,37.567076,1758615610
55.716093,37.567806,1758615620
55.716627,37.568459,1758615630
55.716847,37.569509,1758615640
55.717065,37.570549,1758615650
55.717534,37.571279,1758615660
55.718133,37.571311,1758615670
55.718641,37.571074,1758615680
55.719157,37.571898,1758615690
55.719750,37.572700,1758615700
55.719850,37.572700,1758615700
55.720452,37.573521,1758615710
55.721066,37.574441,1758615720
55.721801,37.575364,1758615730
55.722450,37.576301,1758615740
55.723051,37.577037,1758615750
55.723753,37.578020,1758615760
55.724377,37.578943,1758615770
55.725030,37.579733,1758615780
55.725724,37.580653,1758615790
55.726340,37.581604,1758615800
55.726982,37.582437,1758615810
55.727723,37.583443,1758615820
55.727380,37.584811,1758615830
55.726912,37.585349,1758615840
55.726792,37.586960,1758615850
55.726652,37.588391,1758615860
55.726194,37.589762,1758615870
55.726085,37.590723,1758615880
55.726753,37.591355,1758615890
55.727457,37.591800,1758615900
55.728144,37.592330,1758615910
55.728769,37.592759,1758615920
55.729347,37.593155,1758615930
55.729978,37.593605,1758615940
55.730672,37.594102,1758615950
55.731243,37.594501,1758615960
55.731849,37.595029,1758615970
55.732390,37.595519,1758615980
55.732839,37.595934,1758615990
55.733333,37.596509,1758616000
55.733782,37.596987,1758616010
55.734218,37.597504,1758616020
55.734680,37.597916,1758616030
55.734943,37.598378,1758616040
55.735272,37.598898,1758616050
55.735620,37.599528,1758616060
55.735727,37.599558,1758616070
55.735481,37.599083,1758616080
55.735273,37.598564,1758616090
55.734959,37.598131,1758616100
55.734651,37.597651,1758616110
55.734348,37.597316,1758616120
55.734280,37.597048,1758616130
55.734524,37.596640,1758616140
55.734423,37.597146,1758616150
55.734289,37.597562,1758616160
55.734107,37.598117,1758616170
55.734005,37.598529,1758616180
55.733818,37.599081,1758616190
55.733685,37.599445,1758616200
55.733543,37.599871,1758616210
55.733367,37.600316,1758616220
55.733265,37.600637,1758616230
55.733136,37.600945,1758616240
55.732965,37.601298,1758616250
55.732823,37.601451,1758616260
55.732686,37.601632,1758616270
55.732581,37.601976,1758616280
