# Test ride 2 (next day): Leninsky pr. - Vorobyovy Gory climb - Luzhniki - Frunzenskaya emb.
# Overlaps ride.csv on the embankment; use both to test aggregations.
# lat,lon,unix_ts
55.732024,37.603726,1758733200
55.731918,37.604119,1758733210
55.731778,37.604429,1758733220
55.731668,37.604783,1758733230
55.731544,37.605200,1758733240
55.731406,37.605611,1758733250
55.731244,37.605991,1758733260
55.731192,37.606563,1758733270
55.731102,37.606924,1758733280
55.730961,37.607396,1758733290
55.730780,37.607969,1758733300
55.730608,37.608500,1758733310
55.730578,37.608914,1758733320
55.730366,37.609512,1758733330
55.730175,37.610110,1758733340
55.729969,37.610740,1758733350
55.729752,37.611405,1758733360
55.729472,37.612019,1758733370
55.729080,37.611935,1758733380
55.728738,37.611602,1758733390
55.728395,37.610970,1758733400
55.728022,37.610344,1758733410
55.727663,37.609638,1758733420
55.727279,37.608955,1758733430
55.726860,37.608329,1758733440
55.726425,37.607650,1758733450
55.725971,37.607062,1758733460
55.725593,37.606461,1758733470
55.725213,37.605857,1758733480
55.724759,37.605239,1758733490
55.724219,37.604418,1758733500
55.723698,37.603610,1758733510
55.723078,37.602805,1758733520
55.722589,37.601980,1758733530
55.722082,37.601316,1758733540
55.721559,37.600558,1758733550
55.721092,37.599794,1758733560
55.720513,37.598992,1758733570
55.719940,37.598158,1758733580
55.719403,37.597324,1758733590
55.718784,37.596390,1758733600
55.718215,37.595633,1758733610
55.717637,37.594772,1758733620
55.717120,37.594031,1758733630
55.716614,37.593320,1758733640
55.716084,37.592621,1758733650
55.715427,37.591702,1758733660
55.714880,37.590970,1758733670
55.714434,37.590714,1758733680
55.713810,37.590134,1758733690
55.713272,37.589446,1758733700
55.712606,37.588552,1758733710
55.711902,37.587615,1758733720
55.711306,37.586787,1758733730
55.710675,37.587576,1758733740
55.709982,37.587964,1758733750
55.709121,37.587980,1758733760
55.708501,37.587809,1758733770
55.708409,37.587579,1758733780
55.709137,37.587965,1758733790
55.709756,37.587697,1758733800
55.709685,37.586497,1758733810
55.709948,37.585275,1758733820
55.709646,37.584169,1758733830
55.710233,37.584159,1758733840
55.710057,37.584029,1758733850
55.709501,37.582689,1758733860
55.708853,37.581679,1758733870
55.708419,37.580449,1758733880
55.708332,37.579012,1758733890
55.708204,37.577639,1758733900
55.708060,37.576191,1758733910
55.707947,37.574794,1758733920
55.707869,37.573825,1758733930
55.707744,37.572593,1758733940
55.707595,37.571299,1758733950
55.707495,37.570267,1758733960
55.707361,37.569094,1758733970
55.707215,37.568053,1758733980
55.707104,37.567043,1758733990
55.706987,37.566228,1758734000
55.706869,37.565405,1758734010
55.706738,37.564487,1758734020
55.706650,37.563629,1758734030
55.706490,37.562776,1758734040
55.706415,37.562033,1758734050
55.706335,37.561380,1758734060
55.706196,37.560757,1758734070
55.706150,37.560079,1758734080
55.706181,37.559357,1758734090
55.706207,37.558728,1758734100
55.706216,37.558028,1758734110
55.706274,37.557363,1758734120
55.706265,37.556772,1758734130
55.706294,37.556187,1758734140
55.706359,37.555624,1758734150
55.706374,37.555043,1758734160
55.706413,37.554500,1758734170
55.706425,37.554075,1758734180
55.706438,37.553618,1758734190
55.706486,37.553025,1758734200
55.706511,37.552592,1758734210
55.706582,37.552140,1758734220
55.706604,37.551726,1758734230
55.706667,37.551247,1758734240
55.706670,37.550831,1758734250
55.706745,37.550388,1758734260
55.706825,37.549872,1758734270
55.706883,37.549418,1758734280
55.706932,37.548941,1758734290
55.707024,37.548361,1758734300
55.707076,37.548041,1758734310
55.707159,37.547574,1758734320
55.707268,37.547121,1758734330
55.707346,37.546801,1758734340
55.707426,37.546329,1758734350
55.707515,37.545971,1758734360
55.707636,37.545640,1758734370
55.707771,37.545265,1758734380
55.707858,37.544894,1758734390
55.707937,37.544555,1758734400
55.708104,37.544269,1758734410
55.708227,37.543946,1758734420
55.708346,37.543671,1758734430
55.708475,37.543323,1758734440
55.708623,37.543047,1758734450
55.708751,37.542781,1758734460
55.708760,37.543021,1758734470
55.708630,37.543317,1758734480
55.708538,37.543669,1758734490
55.708434,37.544004,1758734500
55.708609,37.543690,1758734510
55.708769,37.543527,1758734520
55.708941,37.543362,1758734530
55.709131,37.543217,1758734540
55.709287,37.543063,1758734550
55.709505,37.542857,1758734560
55.709662,37.542757,1758734570
55.709846,37.542590,1758734580
55.710040,37.542394,1758734590
55.710181,37.542273,1758734600
55.710358,37.542004,1758734610
55.710551,37.541823,1758734620
55.710771,37.541747,1758734630
55.710963,37.542084,1758734640
55.711138,37.542317,1758734650
55.711276,37.542290,1758734660
55.711242,37.542895,1758734670
55.711574,37.542871,1758734680
55.712010,37.542481,1758734690
55.712435,37.542105,1758734700
55.712919,37.542022,1758734710
55.713433,37.541540,1758734720
55.713655,37.542408,1758734730
55.713184,37.543262,1758734740
55.712678,37.544126,1758734750
55.712257,37.544976,1758734760
55.711797,37.545851,1758734770
55.711203,37.547033,1758734780
55.710726,37.548388,1758734790
55.710190,37.550047,1758734800
55.709878,37.551886,1758734810
55.709698,37.553483,1758734820
55.709588,37.555319,1758734830
55.709511,37.557136,1758734840
55.709542,37.557945,1758734850
55.710244,37.558901,1758734860
55.710824,37.559711,1758734870
55.711405,37.560447,1758734880
55.711894,37.560756,1758734890
55.712167,37.561107,1758734900
55.712600,37.561828,1758734910
